ts_code,name,industry,area
000568.SZ,泸州老窖,,
000596.SZ,古井贡酒,,
000612.SZ,焦作万方,,
000858.SZ,五粮液,,
000963.SZ,华东医药,,
600007.SH,中国国贸,,
600161.SH,天坛生物,,
600276.SH,恒瑞医药,,
600285.SH,羚锐制药,,
600380.SH,健康元,,
600519.SH,贵州茅台,,
600563.SH,法拉电子,,
600598.SH,北大荒,,
600845.SH,宝信软件,,
002088.SZ,鲁阳节能,,
002130.SZ,沃尔核材,,
601088.SH,中国神华,,
002252.SZ,上海莱士,,
002270.SZ,华明装备,,
002275.SZ,桂林三金,,
002315.SZ,焦点科技,,
002372.SZ,伟星新材,,
002543.SZ,万和电气,,
002555.SZ,三七互娱,,
300192.SZ,科德教育,,
002605.SZ,姚记科技,,
601100.SH,恒立液压,,
601225.SH,陕西煤业,,
002632.SZ,道明光学,,
300286.SZ,安科瑞,,
002690.SZ,美亚光电,,
603288.SH,海天味业,,
603444.SH,吉比特,,
603043.SH,广州酒家,,
300487.SZ,蓝晓科技,,
603203.SH,快克智能,,
002833.SZ,弘亚数控,,
