date,value,state
2021-01-13,1000000.0,bull
2021-01-14,1000000.0,bull
2021-01-15,1000000.0,bull
2021-01-18,1000000.0,bull
2021-01-19,1000000.0,bull
2021-01-20,1000000.0,bull
2021-01-21,1000000.0,bull
2021-01-22,1000000.0,bull
2021-01-25,1000000.0,bull
2021-01-26,1000000.0,bull
2021-01-27,1000000.0,bull
2021-01-28,979518.0,oscillate
2021-01-29,985316.0,oscillate
2021-02-01,1003253.0,oscillate
2021-02-02,1031844.0,oscillate
2021-02-03,1029253.0,bull
2021-02-04,1024185.0,bull
2021-02-05,1027860.0,oscillate
2021-02-08,1036857.0,bull
2021-02-09,1081719.0,bull
2021-02-10,1109643.0,bull
2021-02-18,1089806.0,bull
2021-02-19,1073737.0,bull
2021-02-22,1021412.0,bull
2021-02-23,1012972.0,bull
2021-02-24,964359.0,bull
2021-02-25,948237.0,bull
2021-02-26,926720.0,oscillate
2021-03-01,937379.0,oscillate
2021-03-02,920544.0,oscillate
2021-03-03,935526.0,oscillate
2021-03-04,893953.0,oscillate
2021-03-05,906175.0,oscillate
2021-03-08,860123.0,oscillate
2021-03-09,832834.0,oscillate
2021-03-10,926275.0,oscillate
2021-03-11,944310.0,oscillate
2021-03-12,943073.0,oscillate
2021-03-15,928872.0,oscillate
2021-03-16,937471.0,oscillate
2021-03-17,938508.0,oscillate
2021-03-18,949808.0,oscillate
2021-03-19,940172.0,oscillate
2021-03-22,945937.0,oscillate
2021-03-23,939592.0,oscillate
2021-03-24,942921.0,oscillate
2021-03-25,937531.0,oscillate
2021-03-26,959431.0,oscillate
2021-03-29,966920.0,bull
2021-03-30,981562.0,bull
2021-03-31,967685.0,oscillate
2021-04-01,982646.0,oscillate
2021-04-02,1004346.0,bull
2021-04-06,997756.0,bull
2021-04-07,980484.0,bull
2021-04-08,1007853.0,oscillate
2021-04-09,995638.0,bull
2021-04-12,996183.0,oscillate
2021-04-13,994535.0,oscillate
2021-04-14,1007621.0,bull
2021-04-15,1005196.0,bull
2021-04-16,1010534.0,oscillate
2021-04-19,1020260.0,bull
2021-04-20,1039001.0,oscillate
2021-04-21,1073424.0,bull
2021-04-22,1087847.0,oscillate
2021-04-23,1070427.0,oscillate
2021-04-26,1061164.0,oscillate
2021-04-27,1071621.0,oscillate
2021-04-28,1091527.0,bull
2021-04-29,1074714.0,bull
2021-04-30,1082823.0,bull
2021-05-06,1050589.0,bull
2021-05-07,1020801.0,bull
2021-05-10,1024588.0,bull
2021-05-11,1045803.0,bull
2021-05-12,1075939.0,oscillate
2021-05-13,1115220.0,oscillate
2021-05-14,1136758.0,bull
2021-05-17,1159416.0,bull
2021-05-18,1163630.0,bull
2021-05-19,1168092.0,bull
2021-05-20,1165177.0,bull
2021-05-21,1150041.0,bull
2021-05-24,1150446.0,oscillate
2021-05-25,1187201.0,bull
2021-05-26,1198484.0,bull
2021-05-27,1193621.0,bull
2021-05-28,1185067.0,bull
2021-05-31,1196457.0,bull
2021-06-01,1193116.0,bull
2021-06-02,1159461.0,bull
2021-06-03,1173422.0,bull
2021-06-04,1193410.0,bull
2021-06-07,1239295.0,bull
2021-06-08,1200665.0,bull
2021-06-09,1193444.0,bull
2021-06-10,1196734.0,bull
2021-06-11,1171286.0,bull
2021-06-15,1167980.0,oscillate
2021-06-16,1160024.0,oscillate
2021-06-17,1183297.0,oscillate
2021-06-18,1194186.0,oscillate
2021-06-21,1216112.0,oscillate
2021-06-22,1221632.0,oscillate
2021-06-23,1196270.0,oscillate
2021-06-24,1202325.0,oscillate
2021-06-25,1224013.0,oscillate
2021-06-28,1251477.0,oscillate
2021-06-29,1255581.0,oscillate
2021-06-30,1145668.0,oscillate
2021-07-01,1163054.0,oscillate
2021-07-02,1127797.0,oscillate
2021-07-05,1137344.0,oscillate
2021-07-06,1109769.0,bull
2021-07-07,1126482.0,bull
2021-07-08,1120435.0,oscillate
2021-07-09,1101980.0,oscillate
2021-07-12,1109782.0,bull
2021-07-13,1120878.0,oscillate
2021-07-14,1137802.0,oscillate
2021-07-15,1148789.0,oscillate
2021-07-16,1138948.0,oscillate
2021-07-19,1150664.0,oscillate
2021-07-20,1146732.0,oscillate
2021-07-21,1163682.0,oscillate
2021-07-22,1145391.0,bull
2021-07-23,1118818.0,bull
2021-07-26,1055976.0,oscillate
2021-07-27,1044752.0,oscillate
2021-07-28,1057950.0,oscillate
2021-07-29,1060765.0,oscillate
2021-07-30,1026123.0,oscillate
2021-08-02,1039981.0,oscillate
2021-08-03,1059643.0,oscillate
2021-08-04,1053531.0,oscillate
2021-08-05,1050461.0,oscillate
2021-08-06,1036609.0,oscillate
2021-08-09,1038907.0,oscillate
2021-08-10,1068214.0,oscillate
2021-08-11,1039637.0,oscillate
2021-08-12,1032531.0,oscillate
2021-08-13,1037969.0,oscillate
2021-08-16,1056830.0,oscillate
2021-08-17,1023324.0,oscillate
2021-08-18,1029337.0,oscillate
2021-08-19,1009418.0,oscillate
2021-08-20,973728.0,oscillate
2021-08-23,989086.0,oscillate
2021-08-24,996943.0,oscillate
2021-08-25,1017108.0,oscillate
2021-08-26,1009969.0,oscillate
2021-08-27,1011333.0,oscillate
2021-08-30,1002300.0,oscillate
2021-08-31,999706.0,oscillate
2021-09-01,1064014.0,oscillate
2021-09-02,1062957.0,oscillate
2021-09-03,1050757.0,oscillate
2021-09-06,1094067.0,oscillate
2021-09-07,1111732.0,oscillate
2021-09-08,1092528.0,oscillate
2021-09-09,1082236.0,oscillate
2021-09-10,1092060.0,oscillate
2021-09-13,1077435.0,oscillate
2021-09-14,1076221.0,oscillate
2021-09-15,1061064.0,oscillate
2021-09-16,1069552.0,oscillate
2021-09-17,1087787.0,oscillate
2021-09-22,1076746.0,oscillate
2021-09-23,1080258.0,oscillate
2021-09-24,1110778.0,oscillate
2021-09-27,1120151.0,oscillate
2021-09-28,1089481.0,oscillate
2021-09-29,1094430.0,oscillate
2021-09-30,1104460.0,oscillate
2021-10-08,1116291.0,oscillate
2021-10-11,1101180.0,oscillate
2021-10-12,1110458.0,oscillate
2021-10-13,1135733.0,oscillate
2021-10-14,1129208.0,oscillate
2021-10-15,1137692.0,oscillate
2021-10-18,1076986.0,oscillate
2021-10-19,1101231.0,oscillate
2021-10-20,1097757.0,oscillate
2021-10-21,1126285.0,oscillate
2021-10-22,1070842.0,oscillate
2021-10-25,1067564.0,oscillate
2021-10-26,1068206.0,oscillate
2021-10-27,1052978.0,oscillate
2021-10-28,1052889.0,oscillate
2021-10-29,1060265.0,oscillate
2021-11-01,1055463.0,oscillate
2021-11-02,1043409.0,oscillate
2021-11-03,1046798.0,oscillate
2021-11-04,1062150.0,oscillate
2021-11-05,1064382.0,oscillate
2021-11-08,1057764.0,oscillate
2021-11-09,1055238.0,oscillate
2021-11-10,1057185.0,oscillate
2021-11-11,1054659.0,oscillate
2021-11-12,1023255.0,oscillate
2021-11-15,1034873.0,oscillate
2021-11-16,1054266.0,oscillate
2021-11-17,1051596.0,oscillate
2021-11-18,1046499.0,oscillate
2021-11-19,1068770.0,oscillate
2021-11-22,1073115.0,oscillate
2021-11-23,1078512.0,oscillate
2021-11-24,1094794.0,oscillate
2021-11-25,1094163.0,oscillate
2021-11-26,1089286.0,oscillate
2021-11-29,1087347.0,oscillate
2021-11-30,1081258.0,oscillate
2021-12-01,1075450.0,oscillate
2021-12-02,1056286.0,oscillate
2021-12-03,1070370.0,oscillate
2021-12-06,1058607.0,oscillate
2021-12-07,1058936.0,oscillate
2021-12-08,1087151.0,oscillate
2021-12-09,1091031.0,oscillate
2021-12-10,1092078.0,oscillate
2021-12-13,1101245.0,oscillate
2021-12-14,1105661.0,oscillate
2021-12-15,1097480.0,oscillate
2021-12-16,1086338.0,oscillate
2021-12-17,1068470.0,oscillate
2021-12-20,1074004.0,oscillate
2021-12-21,1076388.0,oscillate
2021-12-22,1081996.0,oscillate
2021-12-23,1074766.0,oscillate
2021-12-24,1082896.0,oscillate
2021-12-27,1074210.0,oscillate
2021-12-28,1085902.0,oscillate
2021-12-29,1054368.0,oscillate
2021-12-30,1062705.0,oscillate
2021-12-31,1058414.0,oscillate
2022-01-04,1032673.0,oscillate
2022-01-05,1026148.0,oscillate
2022-01-06,1014026.0,oscillate
2022-01-07,994229.0,oscillate
2022-01-10,994967.0,oscillate
2022-01-11,991441.0,oscillate
2022-01-12,999161.0,oscillate
2022-01-13,977307.0,oscillate
2022-01-14,979792.0,oscillate
2022-01-17,954974.0,oscillate
2022-01-18,950468.0,oscillate
2022-01-19,952126.0,oscillate
2022-01-20,941263.0,oscillate
2022-01-21,929365.0,oscillate
2022-01-24,925609.0,oscillate
2022-01-25,905942.0,oscillate
2022-01-26,914212.0,oscillate
2022-01-27,903639.0,oscillate
2022-01-28,898172.0,oscillate
2022-02-07,903632.0,oscillate
2022-02-08,903378.0,oscillate
2022-02-09,915816.0,oscillate
2022-02-10,922936.0,oscillate
2022-02-11,914784.0,oscillate
2022-02-14,968017.0,oscillate
2022-02-15,977349.0,oscillate
2022-02-16,978465.0,oscillate
2022-02-17,973092.0,oscillate
2022-02-18,980821.0,oscillate
2022-02-21,991826.0,oscillate
2022-02-22,984869.0,oscillate
2022-02-23,982050.0,oscillate
2022-02-24,957465.0,oscillate
2022-02-25,970815.0,oscillate
2022-02-28,974163.0,oscillate
2022-03-01,976773.0,oscillate
2022-03-02,975000.0,oscillate
2022-03-03,950688.0,oscillate
2022-03-04,958271.0,oscillate
2022-03-07,1019860.0,oscillate
2022-03-08,989075.0,oscillate
2022-03-09,995465.0,oscillate
2022-03-10,1004888.0,oscillate
2022-03-11,986722.0,oscillate
2022-03-14,948287.0,oscillate
2022-03-15,908635.0,oscillate
2022-03-16,918077.0,oscillate
2022-03-17,944596.0,oscillate
2022-03-18,941777.0,oscillate
2022-03-21,952422.0,oscillate
2022-03-22,938962.0,oscillate
2022-03-23,947746.0,oscillate
2022-03-24,948924.0,oscillate
2022-03-25,941003.0,oscillate
2022-03-28,941261.0,oscillate
2022-03-29,937537.0,oscillate
2022-03-30,962578.0,oscillate
2022-03-31,972714.0,oscillate
2022-04-01,965150.0,oscillate
2022-04-06,964598.0,oscillate
2022-04-07,953036.0,oscillate
2022-04-08,942147.0,oscillate
2022-04-11,926300.0,oscillate
2022-04-12,956000.0,oscillate
2022-04-13,945902.0,oscillate
2022-04-14,956514.0,oscillate
